ZCTA,Mean Household Income
02703,79533
02713,54653
02715,94096
02717,99363
02718,87380
02719,71129
02720,55133
02721,44569
02723,41577
02724,39233
02725,69316
02726,84428
02738,111023
02739,99666
02740,48509
02743,85670
02744,44424
02745,59339
02746,37646
02747,82099
02748,95626
02760,96380
02762,99433
02763,111130
02764,103250
02766,95755
02767,95841
02769,105061
02770,110990
02771,95855
02777,91524
02779,99819
02780,63201
02790,90589
02791,127826
02802,81527
02804,81174
02806,143520
02807,107196
02808,80350
02809,79990
02812,126593
02813,84951
02814,88160
02815,134035
02816,78688
02817,93501
02818,137719
02822,102701
02825,97146
02826,61737
02827,89300
02828,92913
02830,83825
02831,100385
02832,82200
02833,101791
02835,128598
02836,80832
02837,101847
02838,61292
02839,80213
02840,87146
02841,No Data
02842,85567
02852,94162
02857,99301
02858,159693
02859,70242
02860,46562
02861,60526
02863,39017
02864,91889
02865,95439
02871,109992
02872,86039
02873,104357
02874,125251
02875,88858
02876,48583
02878,90412
02879,94820
02881,97931
02882,89993
02885,69311
02886,78522
02888,70824
02889,73857
02891,83870
02892,99931
02893,62351
02894,93917
02895,49955
02896,98380
02898,88758
02903,60034
02904,57554
02905,59210
02906,116280
02907,43677
02908,57284
02909,41902
02910,65450
02911,64754
02912,No Data
02914,55489
02915,67095
02916,82733
02917,93742
02919,73931
02920,66050
02921,120702
03031,133326
03032,113476
03033,124483
03034,106364
03036,119801
03037,100757
03038,77276
03042,85953
03043,103723
03044,103616
03045,93438
03046,104302
03047,82457
03048,74713
03049,136624
03051,102174
03052,107208
03053,112985
03054,104710
03055,79525
03057,113591
03060,61426
03062,95893
03063,91764
03064,80828
03070,125791
03071,97639
03076,105236
03077,75126
03079,94672
03082,89976
03084,82020
03086,81754
03087,143374
03101,59826
03102,59666
03103,59685
03104,77942
03106,92774
03109,86941
03110,158629
03215,92463
03216,75038
03217,49015
03218,83833
03220,69742
03221,73579
03222,60185
03223,92483
03224,104365
03225,75892
03226,88112
03227,73773
03229,113181
03230,61664
03231,68363
03233,91798
03234,85695
03235,51324
03237,78232
03238,44995
03240,54495
03241,71939
03242,80958
03243,65321
03244,72806
03245,90996
03246,66810
03249,93270
03251,54069
03253,81402
03254,139487
03255,82604
03256,69896
03257,84770
03258,84769
03259,80510
03260,86121
03261,85450
03262,66562
03263,65339
03264,55793
03266,66167
03268,89425
03269,85427
03273,68140
03275,72103
03276,66797
03278,89857
03279,55908
03280,71656
03281,103675
03282,59499
03284,84128
03285,67264
03287,78525
03290,103673
03291,No Data
03293,51794
03301,72975
03303,72057
03304,114876
03307,78848
03431,72806
03440,70207
03441,88104
03442,72940
03443,74285
03444,88858
03445,77358
03446,82222
03447,73651
03448,54938
03449,105789
03450,72190
03451,53754
03452,66262
03455,65518
03456,75348
03457,93792
03458,86358
03461,83139
03462,93036
03464,80031
03465,72824
03466,88599
03467,92596
03470,54794
03561,59958
03570,50486
03574,61103
03575,65337
03576,53132
03579,44203
03580,82876
03581,63757
03582,45831
03583,63273
03584,58700
03585,60710
03586,78964
03588,67355
03590,43880
03592,52794
03593,81688
03595,67779
03597,39390
03598,51070
03601,58477
03602,74036
03603,51434
03604,77534
03605,73206
03607,64505
03608,73670
03609,54519
03740,56408
03741,69256
03743,56317
03745,81054
03746,93519
03748,107876
03750,177215
03751,70356
03752,65736
03753,109061
03754,No Data
03755,111671
03765,55336
03766,75190
03768,171910
03770,109818
03771,72539
03773,63934
03774,75336
03777,93985
03779,86908
03780,83882
03781,104793
03782,90431
03784,67897
03785,53890
03801,87594
03809,66152
03810,91993
03811,108455
03812,36315
03813,67961
03814,55239
03816,76296
03817,71838
03818,58725
03819,94612
03820,75519
03823,122065
03824,94681
03825,94672
03826,90631
03827,111935
03830,57184
03832,93592
03833,101467
03835,72180
03836,58890
03837,68827
03838,69045
03839,67411
03840,132839
03841,102423
03842,96298
03844,137650
03845,80923
03846,91648
03847,67424
03848,108351
03849,82781
03850,62687
03851,92905
03852,68690
03853,86443
03854,200316
03855,87829
03856,147172
03857,76720
03858,94053
03860,55507
03861,99545
03862,151810
03864,52961
03865,82116
03867,61482
03868,61054
03869,83094
03870,130725
03871,No Data
03872,72530
03873,99579
03874,66045
03875,90206
03878,62361
03882,54560
03883,100193
03884,104415
03885,151953
03886,65709
03887,69204
03890,44497
03894,79098
03901,73718
03902,85776
03903,88845
03904,74153
03905,64420
03906,75493
03907,90958
03908,86840
03909,98636
03910,49920
03911,93385
04001,70757
04002,65394
04003,73242
04005,59345
04006,63352
04008,75009
04009,52581
04010,64065
04011,72446
04015,62674
04017,83068
04019,No Data
04020,58855
04021,146880
04022,60941
04024,60748
04027,65830
04029,59078
04030,62947
04032,91900
04037,55685
04038,90438
04039,80811
04040,66463
04041,53494
04042,65167
04043,94374
04046,94504
04047,58732
04048,61665
04049,64214
04050,63918
04051,65565
04055,58771
04056,34346
04057,No Data
04061,74121
04062,81107
04063,38746
04064,64776
04066,99161
04068,52290
04069,74576
04071,84257
04072,67980
04073,55794
04074,103425
04076,59164
04079,94504
04083,58601
04084,76783
04085,73441
04086,75927
04087,63147
04088,51977
04090,73927
04091,61011
04092,59272
04093,68838
04095,50582
04096,112660
04097,110225
04101,46841
04102,67428
04103,70096
04105,131027
04106,70514
04107,127936
04108,78904
04109,82742
04110,184696
04210,61549
04216,35850
04217,74682
04219,52408
04220,54127
04221,51887
04222,81090
04224,48169
04226,43230
04227,56848
04228,No Data
04231,59565
04234,31745
04236,68856
04237,50019
04238,67456
04239,67069
04240,49300
04250,55887
04252,61671
04253,55081
04254,44006
04255,74029
04256,58352
04257,40926
04258,89922
04259,74694
04260,72423
04261,53053
04263,58951
04265,74889
04267,24400
04268,48499
04270,51626
04271,No Data
04274,73339
04275,57650
04276,40888
04280,60136
04281,45068
04282,73511
04284,71947
04285,57122
04286,59953
04287,66387
04289,52122
04290,53425
04292,46831
04294,55281
04330,53413
04342,67956
04343,160738
04344,45499
04345,61408
04346,53771
04347,63044
04348,70073
04349,73394
04350,65298
04351,88206
04352,57120
04353,64286
04354,69550
04355,76209
04357,61665
04358,56529
04359,47736
04360,57743
04363,58636
04364,71746
04401,57871
04406,51562
04408,68861
04410,50204
04411,60712
04412,68083
04413,69204
04414,40251
04415,37051
04416,59816
04417,41011
04418,46900
04419,60896
04421,70238
04422,52879
04424,39386
04426,62899
04427,51646
04428,60865
04429,76298
04430,41501
04431,46303
04434,55690
04435,52931
04438,49696
04441,59327
04442,41422
04443,44113
04444,88694
04448,45462
04449,55467
04450,52845
04451,34356
04453,52934
04454,18933
04455,66359
04456,59820
04457,54194
04459,41861
04460,47945
04461,54067
04462,44337
04463,39682
04464,42931
04468,47256
04469,No Data
04471,40350
04472,61552
04473,64441
04474,67572
04475,37734
04476,54242
04478,39277
04479,44106
04481,56567
04485,57142
04487,44627
04488,56973
04489,74866
04490,45753
04491,44643
04492,40537
04493,49742
04495,40483
04496,69200
04497,36744
04530,63400
04535,68460
04537,64239
04538,65450
04539,63490
04541,95905
04543,56987
04544,90834
04547,58862
04548,78933
04551,72420
04553,70194
04554,61132
04555,64909
04556,61701
04558,47276
04562,71664
04563,62571
04564,58989
04568,87082
04570,No Data
04571,85761
04572,52362
04573,70824
04574,53499
04575,188871
04576,73621
04578,68918
04579,71051
04605,60087
04606,63223
04607,53424
04609,66091
04611,55152
04612,70532
04613,54558
04614,60558
04616,77501
04617,75597
04619,42290
04622,47706
04623,50186
04624,40055
04625,43233
04626,50375
04627,65382
04628,44175
04629,48774
04630,59105
04631,42166
04634,42760
04635,64568
04637,59654
04640,57458
04642,65713
04643,48296
04644,No Data
04645,53119
04646,74355
04648,48153
04649,45555
04650,58238
04652,44372
04653,41787
04654,45374
04655,62419
04657,52414
04658,46475
04660,81313
04662,65975
04664,57606
04666,53639
04667,44264
04668,40824
04669,97335
04671,58136
04673,52891
04674,51371
04675,113639
04676,52923
04677,66956
04679,59987
04680,45959
04681,53676
04683,No Data
04684,67042
04685,63403
04686,42338
04691,59604
04693,54108
04694,55340
04730,46869
04732,44604
04733,39831
04734,50779
04735,44227
04736,54031
04739,45325
04740,49460
04741,No Data
04742,48806
04743,56563
04745,56180
04746,40107
04747,49231
04750,42620
04756,43223
04757,60630
04758,51284
04760,42495
04761,50105
04762,52446
04763,45856
04764,34600
04765,49597
04766,49925
04768,54673
04769,50012
04772,45081
04773,50267
04774,34897
04776,42827
04777,39808
04779,58619
04780,55329
04781,48290
04783,53236
04785,43635
04786,50206
04787,44038
04841,49349
04843,79975
04847,63165
04848,88266
